,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Total_Stops,Additional_Info,Price,Duration_IN_Hours,Duration_IN_Min,price_per_min
2119,Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,14:00,21:00,1 stop,No info,13587,7,0,1.85471406491499
2120,Jet Airways,1/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,19:00 02 Jun,1 stop,No info,14714,23,5,5.64768247927144
2121,IndiGo,03/03/2019,Banglore,New Delhi,BLR ? HYD ? DEL,07:30,12:20,1 stop,No info,6220,4,0,2.31511254019293
2122,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,12:35,1 stop,In-flight meal not included,10262,5,0,1.75404404599493
2123,Air India,12/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,18:30,1 stop,No info,8576,9,5,3.81296641791045
2124,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,20:40 25 Mar,1 stop,In-flight meal not included,10031,24,5,8.64320606121025
2125,Jet Airways,24/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,19:00 25 Jun,2 stops,No info,12819,23,0,6.45916218113737
2126,GoAir,15/04/2019,Delhi,Cochin,DEL ? AMD ? COK,07:25,13:35,1 stop,No info,5052,6,0,4.27553444180523
2127,Jet Airways,01/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,08:15 02 Mar,1 stop,No info,22270,24,5,3.89312977099237
2128,Vistara,27/04/2019,Banglore,Delhi,BLR ? DEL,07:00,09:40,non-stop,No info,5613,2,0,1.28273650454303
2129,SpiceJet,1/04/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,non-stop,No info,3873,2,5,1.93648334624322
2130,IndiGo,15/05/2019,Delhi,Cochin,DEL ? COK,05:35,08:50,non-stop,No info,6015,3,5,1.84538653366584
2131,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,12:00,1 stop,In-flight meal not included,10844,5,0,1.6599040944301
2132,SpiceJet,12/05/2019,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,non-stop,No info,2227,1,0,1.61652447238437
2133,Jet Airways,1/04/2019,Banglore,Delhi,BLR ? DEL,19:50,22:50,non-stop,No info,7229,3,0,1.49398257020335
2134,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,19:00,2 stops,In-flight meal not included,10368,13,0,4.51388888888889
2135,Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,04:25 22 May,1 stop,In-flight meal not included,12898,10,5,2.81438982788029
2136,Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,19:00,1 stop,No info,12192,12,0,3.54330708661417
2137,Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,23:35,1 stop,No info,12121,14,0,4.15807276627341
2138,Air India,27/05/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,06:50,07:40 28 May,2 stops,No info,16163,24,0,5.3455422879416
2139,Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,05:45,18:25,1 stop,No info,12284,12,0,3.51676978183002
2140,IndiGo,21/06/2019,Banglore,Delhi,BLR ? DEL,19:30,22:15,non-stop,No info,5780,2,5,1.29757785467128
2141,Jet Airways,9/05/2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,non-stop,In-flight meal not included,4995,1,0,0.720720720720721
2142,IndiGo,9/06/2019,Delhi,Cochin,DEL ? BLR ? COK,05:10,10:05,1 stop,No info,6496,4,5,2.26293103448276
2143,Air India,12/06/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,12:20,19:15 13 Jun,2 stops,No info,12488,30,5,8.67232543241512
2144,IndiGo,15/05/2019,Banglore,Delhi,BLR ? DEL,07:10,10:05,non-stop,No info,4823,2,5,1.55504872486005
2145,SpiceJet,18/06/2019,Mumbai,Hyderabad,BOM ? HYD,05:45,07:15,non-stop,No check-in baggage included,2647,1,0,1.36003022289384
2146,IndiGo,03/03/2019,Banglore,New Delhi,BLR ? DEL,13:00,15:50,non-stop,No info,12649,2,0,0.569214957704166
2147,Multiple carriers,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,19:15,1 stop,No info,8266,7,5,3.08492620372611
2148,Vistara,15/05/2019,Delhi,Cochin,DEL ? COK,06:00,09:10,non-stop,No info,6216,3,0,1.73745173745174
2149,IndiGo,1/04/2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,non-stop,No info,4423,2,5,1.69568166402894
2150,Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,08:15 07 Mar,1 stop,No info,17996,24,5,4.81773727494999
2151,SpiceJet,15/04/2019,Delhi,Cochin,DEL ? PNQ ? COK,08:45,13:15,1 stop,No check-in baggage included,5726,4,0,2.5148445686343
2152,Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,15:30,1 stop,No info,15147,9,0,2.13903743315508
2153,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,19:00 19 May,1 stop,No info,15554,22,5,5.11122540825511
2154,Jet Airways,24/06/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,23:05,04:25 26 Jun,2 stops,No info,12819,29,0,8.1441610109993
2155,Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,18:00,01:30 28 Jun,1 stop,No info,7198,7,0,3.50097249235899
2156,IndiGo,3/04/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,21:00,1 stop,No info,5073,5,0,3.54819633353046
2157,IndiGo,27/06/2019,Banglore,Delhi,BLR ? DEL,21:15,00:15 28 Jun,non-stop,No info,3943,3,0,2.73903119452194
2158,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM ? HYD,07:10,08:35,non-stop,In-flight meal not included,3205,1,5,1.21684867394696
2159,SpiceJet,12/05/2019,Banglore,Delhi,BLR ? DEL,05:55,08:35,non-stop,No check-in baggage included,3257,2,0,2.21062327295057
2160,IndiGo,3/06/2019,Kolkata,Banglore,CCU ? BLR,22:15,00:50 04 Jun,non-stop,No info,4804,2,5,1.56119900083264
2161,IndiGo,09/03/2019,Banglore,New Delhi,BLR ? NAG ? DEL,16:50,21:35,1 stop,No info,10231,4,5,1.43680969602189
2162,Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,04:25 22 May,1 stop,In-flight meal not included,12898,7,0,1.95379128547062
2163,IndiGo,21/03/2019,Mumbai,Hyderabad,BOM ? HYD,21:20,22:45,non-stop,No info,2227,1,5,1.75123484508307
2164,Air India,1/04/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,11:10 02 Apr,2 stops,No info,9258,23,0,8.94361633182113
2165,Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,09:20 25 May,1 stop,In-flight meal not included,9663,16,0,5.96088171375349
2166,Jet Airways,21/05/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,non-stop,No info,8040,1,5,0.485074626865672
2167,GoAir,6/06/2019,Banglore,Delhi,BLR ? DEL,20:55,23:40,non-stop,No info,3419,2,5,2.19362386662767
2168,Jet Airways,1/06/2019,Banglore,Delhi,BLR ? DEL,07:10,10:10,non-stop,No info,8016,3,0,1.34730538922156
2169,Jet Airways,6/04/2019,Banglore,Delhi,BLR ? DEL,17:45,20:45,non-stop,No info,7229,3,0,1.49398257020335
2170,GoAir,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:35,19:35,1 stop,No info,4959,9,0,6.53357531760436
2171,Air India,9/06/2019,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,12:00,11:10 10 Jun,2 stops,No info,10151,23,0,8.15683183922766
2172,Air India,18/05/2019,Delhi,Cochin,DEL ? RPR ? NAG ? BOM ? COK,05:15,19:15 19 May,3 stops,No info,10703,38,0,12.7814631411754
2173,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,18:15,1 stop,In-flight meal not included,10844,9,0,2.98782736997418
2174,IndiGo,6/03/2019,Delhi,Cochin,DEL ? HYD ? COK,16:10,22:20,1 stop,No info,7205,6,0,2.99791811242193
2175,Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:55,18:25,1 stop,No info,12284,9,0,2.63757733637252
2176,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,22:05,1 stop,In-flight meal not included,13994,12,0,3.08703730170073
2177,IndiGo,15/04/2019,Delhi,Cochin,DEL ? COK,14:25,17:40,non-stop,No info,6015,3,5,1.84538653366584
2178,IndiGo,3/04/2019,Kolkata,Banglore,CCU ? MAA ? BLR,06:15,10:30,1 stop,No info,4226,4,5,3.47846663511595
2179,Jet Airways,21/03/2019,Delhi,Cochin,DEL ? AMD ? BOM ? COK,19:10,18:50 22 Mar,2 stops,No info,9483,23,0,8.73141410945903
2180,Jet Airways,15/05/2019,Banglore,Delhi,BLR ? DEL,07:10,10:10,non-stop,In-flight meal not included,5198,3,0,2.07772220084648
2181,Jet Airways,27/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,05:30,19:00,2 stops,In-flight meal not included,10368,13,0,4.51388888888889
2182,Vistara,3/06/2019,Chennai,Kolkata,MAA ? CCU,17:45,20:05,non-stop,No info,11982,2,0,0.600901352028042
2183,Air India,15/03/2019,Banglore,New Delhi,BLR ? MAA ? DEL,11:50,13:00 16 Mar,1 stop,No info,8032,25,0,11.2051792828685
2184,Air India,15/05/2019,Kolkata,Banglore,CCU ? BLR,14:15,16:45,non-stop,No info,5510,2,0,1.30671506352087
2185,IndiGo,9/05/2019,Delhi,Cochin,DEL ? PNQ ? COK,23:30,04:35 10 May,1 stop,No info,8177,5,5,2.23798459092577
2186,Air Asia,1/06/2019,Delhi,Cochin,DEL ? BLR ? COK,16:45,22:25,1 stop,No info,11410,5,0,1.57756354075372
2187,GoAir,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:00,12:50,1 stop,No info,9385,5,0,1.91795418220565
2188,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,1 stop,In-flight meal not included,10262,9,0,3.15727928279088
2189,SpiceJet,18/06/2019,Kolkata,Banglore,CCU ? BLR,09:00,11:25,non-stop,No info,3873,2,5,1.93648334624322
2190,Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? BOM ? COK,11:40,18:50,1 stop,No info,11999,7,0,2.10017501458455
2191,Jet Airways,27/06/2019,Delhi,Cochin,DEL ? ATQ ? BOM ? COK,18:20,12:35 28 Jun,2 stops,No info,14300,18,5,4.55244755244755
2192,SpiceJet,12/05/2019,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,non-stop,No check-in baggage included,2175,1,0,1.6551724137931
2193,Air India,9/05/2019,Delhi,Cochin,DEL ? CCU ? BOM ? COK,06:50,07:40 10 May,2 stops,No info,14431,24,0,5.98711108031321
2194,Jet Airways,21/05/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,non-stop,No info,7229,2,5,1.03748789597455
2195,IndiGo,24/05/2019,Kolkata,Banglore,CCU ? HYD ? BLR,19:20,23:45,1 stop,No info,3809,4,5,3.85928065108953
2196,Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,19:15,1 stop,No info,7354,11,5,5.42561871090563
2197,Multiple carriers,27/03/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,15:30,1 stop,No info,12537,7,0,2.01005025125628
2198,Air India,27/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,19:15,1 stop,No info,9719,6,5,2.25331824261755
2199,Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM ? HYD,10:20,11:50,non-stop,No info,8040,1,0,0.447761194029851
2200,Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,non-stop,In-flight meal not included,4995,1,5,0.780780780780781
2201,IndiGo,6/04/2019,Banglore,Delhi,BLR ? DEL,23:30,02:20 07 Apr,non-stop,No info,4591,2,0,1.56828577651928
2202,Air India,6/06/2019,Kolkata,Banglore,CCU ? GAU ? BLR,16:45,21:05 07 Jun,1 stop,No info,7662,28,0,13.1558339859045
2203,IndiGo,24/06/2019,Chennai,Kolkata,MAA ? CCU,07:55,10:15,non-stop,No info,3850,2,0,1.87012987012987
2204,IndiGo,3/06/2019,Delhi,Cochin,DEL ? HYD ? COK,08:35,22:30,1 stop,No info,6442,13,5,7.31139397702577
2205,IndiGo,3/06/2019,Delhi,Cochin,DEL ? PNQ ? COK,23:30,04:35 04 Jun,1 stop,No info,11378,5,5,1.60836702408156
2206,Multiple carriers,27/06/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,01:30 28 Jun,1 stop,No info,13377,10,0,2.69118636465575
2207,Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,20:45,1 stop,In-flight meal not included,10844,12,0,3.98376982663224
2208,Jet Airways,9/05/2019,Mumbai,Hyderabad,BOM ? HYD,07:05,08:30,non-stop,In-flight meal not included,4995,1,5,0.780780780780781
2209,Air India,27/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,17:15,09:25 28 Mar,2 stops,No info,6057,16,0,9.50965824665676
2210,Air India,6/04/2019,Banglore,Delhi,BLR ? DEL,10:00,12:45,non-stop,No info,5176,2,5,1.44899536321484
2211,Jet Airways,9/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,09:40,04:25 10 Jun,2 stops,No info,13014,18,5,5.00230520977409
2212,IndiGo,01/03/2019,Banglore,New Delhi,BLR ? HYD ? DEL,16:15,20:35,1 stop,No Info,7917,4,0,1.81887078438803
2213,SpiceJet,9/06/2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,11:20,1 stop,No info,5583,5,5,3.27780763030629
2214,Jet Airways,9/04/2019,Banglore,Delhi,BLR ? DEL,06:00,08:45,non-stop,No info,7229,2,5,1.03748789597455
2215,IndiGo,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,16:00,01:30 19 May,1 stop,No info,7191,9,0,4.50563204005006
2216,Jet Airways,12/06/2019,Mumbai,Hyderabad,BOM ? HYD,19:35,21:05,non-stop,In-flight meal not included,3210,1,0,1.1214953271028
2217,IndiGo,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,01:35 07 Mar,1 stop,No info,14871,10,5,2.44099253580795
2218,Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,19:15,1 stop,No info,8099,10,5,4.48203481911347
2219,Air India,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,09:25,18:30,1 stop,No info,8366,9,5,3.90867798230935
2220,IndiGo,9/03/2019,Chennai,Kolkata,MAA ? CCU,22:05,00:25 10 Mar,non-stop,No info,6297,2,0,1.14340161981896
2221,Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,21:00,1 stop,No info,18286,8,0,1.57497539100952
2222,Jet Airways,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,23:05,19:45 07 Mar,1 stop,No info,17024,20,0,4.22932330827068
2223,Jet Airways,24/04/2019,Banglore,Delhi,BLR ? DEL,07:10,10:10,non-stop,In-flight meal not included,6144,3,0,1.7578125
2224,Multiple carriers,9/03/2019,Delhi,Cochin,DEL ? BOM ? COK,06:00,19:45,1 stop,No info,13941,13,5,3.37852377878201
2225,Jet Airways,9/05/2019,Banglore,Delhi,BLR ? DEL,18:55,22:00,non-stop,In-flight meal not included,3702,3,5,2.99837925445705
2226,SpiceJet,15/05/2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,11:20,1 stop,No info,5583,5,5,3.27780763030629
2227,Air India,12/03/2019,Mumbai,Hyderabad,BOM ? DEL ? HYD,19:40,09:10 13 Mar,1 stop,No info,10208,13,0,4.5846394984326
2228,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,18:00,1 stop,In-flight meal not included,12384,8,5,2.34980620155039
2229,Air India,6/05/2019,Kolkata,Banglore,CCU ? DEL ? AMD ? BLR,10:00,05:25 07 May,2 stops,No info,17049,19,5,4.02956185113496
2230,IndiGo,24/05/2019,Delhi,Cochin,DEL ? BOM ? COK,07:30,21:00,1 stop,No info,7006,13,0,6.6799885812161
2231,Air India,12/06/2019,Kolkata,Banglore,CCU ? IXR ? DEL ? BLR,05:50,20:25,2 stops,No info,12723,14,5,3.9849092195237
2232,Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,08:00,04:25 13 Jun,1 stop,In-flight meal not included,10577,20,5,6.83558665027891
2233,Jet Airways,06/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,07:00,19:10,1 stop,No info,16736,12,0,2.58126195028681
2234,Jet Airways,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,04:25 25 Jun,1 stop,In-flight meal not included,10262,15,5,5.29136620541805
2235,Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,11:25,19:15,1 stop,No info,7155,7,0,3.52201257861635
2236,Multiple carriers,3/03/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,01:35 04 Mar,1 stop,No info,15147,15,5,3.58486829075064
2237,IndiGo,12/06/2019,Banglore,Delhi,BLR ? DEL,07:10,10:05,non-stop,No info,4823,2,5,1.55504872486005
2238,Air India,15/03/2019,Banglore,New Delhi,BLR ? BBI ? DEL,09:30,16:20,1 stop,No info,8714,6,0,2.47876979573101
2239,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,09:45 07 May,1 stop,No info,10953,24,0,7.88824979457683
2240,Air India,12/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:30,20:25 13 Jun,1 stop,No info,10203,23,5,8.14466333431344
2241,Jet Airways,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,13:00,12:35 19 May,1 stop,In-flight meal not included,12373,23,5,6.71623696759072
2242,Jet Airways,12/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,23:35,1 stop,No info,14151,14,0,3.56158575365699
2243,Jet Airways,24/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,14:25 25 May,1 stop,No info,12121,28,0,8.31614553254682
2244,Vistara,9/04/2019,Delhi,Cochin,DEL ? COK,06:00,09:10,non-stop,No info,5586,3,0,1.93340494092374
2245,Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,08:25,12:00 19 May,1 stop,In-flight meal not included,10844,27,5,8.99114717816304
2246,Jet Airways,21/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,04:40 22 May,1 stop,In-flight meal not included,8586,7,0,2.93501048218029
2247,SpiceJet,6/06/2019,Delhi,Cochin,DEL ? BLR ? COK,17:55,22:50,1 stop,No info,5409,4,5,2.71769273433167
2248,Multiple carriers,21/03/2019,Delhi,Cochin,DEL ? HYD ? MAA ? COK,09:45,21:20,2 stops,No info,7178,11,5,5.5586514349401
2249,Multiple carriers,24/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,01:30 25 Jun,1 stop,In-flight meal not included,5797,15,0,9.31516301535277
2250,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,19:45,19:40 25 Mar,1 stop,No info,13759,23,5,6.03968311650556
2251,Air India,24/05/2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,07:00,01:20 25 May,2 stops,No info,13873,18,0,4.67094355943199
2252,Jet Airways,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,20:55,19:00 22 May,1 stop,No info,16079,22,5,4.94433733441134
2253,SpiceJet,27/06/2019,Mumbai,Hyderabad,BOM ? HYD,13:15,14:45,non-stop,No info,2017,1,0,1.78482895389192
2254,Jet Airways,18/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,20:00,18:15 19 May,1 stop,In-flight meal not included,10844,22,5,7.33124308373294
2255,SpiceJet,24/04/2019,Banglore,Delhi,BLR ? DEL,21:10,00:05 25 Apr,non-stop,No check-in baggage included,3573,2,5,2.09907640638119
2256,Jet Airways,6/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,09:45 07 May,1 stop,In-flight meal not included,8066,24,0,10.7116290602529
2257,Jet Airways,9/03/2019,Delhi,Cochin,DEL ? BOM ? COK,20:50,18:50 10 Mar,1 stop,In-flight meal not included,14053,22,0,5.63580730093219
2258,Jet Airways,18/03/2019,Banglore,New Delhi,BLR ? BOM ? DEL,08:00,15:15,1 stop,No info,12284,7,5,2.07587105177467
2259,SpiceJet,9/04/2019,Delhi,Cochin,DEL ? MAA ? COK,06:05,11:20,1 stop,No info,5351,5,5,3.41992150999813
2260,Jet Airways,1/04/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:30,16:20 02 Apr,1 stop,In-flight meal not included,7064,23,0,11.7214043035108
2261,IndiGo,3/03/2019,Delhi,Cochin,DEL ? MAA ? COK,02:05,07:25,1 stop,No info,10394,5,0,1.73176832788147
2262,Jet Airways,15/05/2019,Kolkata,Banglore,CCU ? BOM ? BLR,18:55,09:20 16 May,1 stop,In-flight meal not included,9663,14,5,5.24681775846011
2263,Multiple carriers,18/05/2019,Delhi,Cochin,DEL ? BOM ? COK,17:30,01:30 19 May,1 stop,No info,13727,8,0,2.09805492824361
2264,Jet Airways,12/06/2019,Delhi,Cochin,DEL ? BOM ? COK,19:15,12:35 13 Jun,1 stop,In-flight meal not included,10262,17,0,5.96374975638277
2265,IndiGo,9/04/2019,Banglore,Delhi,BLR ? DEL,07:10,10:05,non-stop,No info,4823,2,5,1.55504872486005
2266,Air Asia,03/03/2019,Banglore,New Delhi,BLR ? DEL,05:50,08:40,non-stop,No info,7074,2,0,1.01781170483461
2267,Multiple carriers,6/03/2019,Delhi,Cochin,DEL ? BOM ? COK,07:05,21:00,1 stop,No info,17267,13,5,2.72774656859906
2268,Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,01:30 22 May,1 stop,No info,14067,10,0,2.55918106206014
2269,IndiGo,1/05/2019,Banglore,Delhi,BLR ? DEL,08:30,11:20,non-stop,No info,4823,2,0,1.49284677586564
2270,IndiGo,27/04/2019,Banglore,Delhi,BLR ? DEL,20:00,22:50,non-stop,No info,4823,2,0,1.49284677586564
2271,Air Asia,12/05/2019,Banglore,Delhi,BLR ? DEL,23:55,02:45 13 May,non-stop,No info,4483,2,0,1.60606736560339
2272,Air India,6/06/2019,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,09:50,23:15,2 stops,No info,14960,13,5,3.14839572192513
2273,Air India,1/06/2019,Banglore,Delhi,BLR ? DEL,17:00,19:45,non-stop,No info,7171,2,5,1.04587923581091
2274,Air India,24/03/2019,Kolkata,Banglore,CCU ? DEL ? BLR,20:30,08:55 25 Mar,1 stop,No info,12173,12,5,3.57348229688655
2275,Air India,03/03/2019,Banglore,New Delhi,BLR ? AMD ? DEL,00:30,08:45,1 stop,No info,11392,8,5,2.55442415730337
2276,Air India,15/05/2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,10:00,13:45 16 May,2 stops,No info,16057,27,5,6.07211807934234
2277,Jet Airways,9/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,10:55 10 Jun,1 stop,No info,14151,17,5,4.34598261606954
2278,Jet Airways,21/05/2019,Banglore,Delhi,BLR ? DEL,11:10,14:05,non-stop,In-flight meal not included,4030,2,5,1.86104218362283
2279,IndiGo,6/05/2019,Kolkata,Banglore,CCU ? BBI ? BLR,19:35,23:15,1 stop,No info,4226,3,0,2.55560814008519
2280,Air India,9/03/2019,Delhi,Cochin,DEL ? BOM ? COK,04:00,19:15,1 stop,No info,11050,15,5,4.91402714932127
2281,Air India,21/05/2019,Banglore,Delhi,BLR ? DEL,10:00,12:45,non-stop,No info,6961,2,5,1.07743140353398
2282,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,21:10,09:15 25 Mar,1 stop,No info,14231,12,5,3.05670718853208
2283,Jet Airways,27/06/2019,Delhi,Cochin,DEL ? NAG ? BOM ? COK,14:35,12:35 28 Jun,2 stops,In-flight meal not included,10919,22,0,7.25341148456818
2284,Air India,27/03/2019,Delhi,Cochin,DEL ? LKO ? BOM ? COK,07:00,19:15,2 stops,No info,10913,12,5,3.98607165765601
2285,IndiGo,27/06/2019,Chennai,Kolkata,MAA ? CCU,22:05,00:25 28 Jun,non-stop,No info,5277,2,0,1.36441159749858
2286,Multiple carriers,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,10:20,21:00,1 stop,No info,7485,10,0,4.80961923847695
2287,Jet Airways,24/03/2019,Kolkata,Banglore,CCU ? BOM ? BLR,16:55,16:20 25 Mar,1 stop,No info,14231,23,5,5.83936476705783
2288,GoAir,6/04/2019,Delhi,Cochin,DEL ? AMD ? COK,07:25,13:35,1 stop,No info,4201,6,0,5.14163294453702
2289,Air India,6/03/2019,Delhi,Cochin,DEL ? COK,14:10,17:10,non-stop,No info,7931,3,0,1.36174505106544
2290,Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? HYD ? COK,14:55,22:30,1 stop,No info,6513,7,5,3.91524643021649
2291,Jet Airways,6/06/2019,Delhi,Cochin,DEL ? BOM ? COK,15:00,19:00 07 Jun,1 stop,No info,14714,28,0,6.85061845861085
2292,IndiGo,9/05/2019,Kolkata,Banglore,CCU ? NAG ? BLR,18:05,23:30,1 stop,No info,6218,5,5,2.94306851077517
2293,Air India,27/06/2019,Delhi,Cochin,DEL ? JAI ? BOM ? COK,12:00,19:15,2 stops,No info,8603,7,5,2.96408229687318
2294,IndiGo,21/05/2019,Delhi,Cochin,DEL ? BOM ? COK,08:30,21:00,1 stop,No info,7318,12,0,5.9032522547144
2295,Multiple carriers,15/06/2019,Delhi,Cochin,DEL ? BOM ? COK,10:00,19:00,1 stop,No info,13504,9,0,2.39928909952607
2296,Multiple carriers,15/05/2019,Delhi,Cochin,DEL ? HYD ? COK,07:05,22:30,1 stop,No info,9646,15,5,5.62927638399337
2297,IndiGo,27/05/2019,Kolkata,Banglore,CCU ? BLR,11:30,14:05,non-stop,No info,5224,2,5,1.43568147013783
2298,Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? DEL ? BLR,09:35,18:00,1 stop,No info,12692,8,5,2.29278285534195
2299,Jet Airways,6/06/2019,Kolkata,Banglore,CCU ? GAU ? BLR,10:20,17:35,1 stop,In-flight meal not included,9689,7,5,2.63185055217257
2300,Air India,9/05/2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,10:00,01:20 10 May,2 stops,No info,13033,15,0,4.14332847387401
2301,Jet Airways,12/06/2019,Kolkata,Banglore,CCU ? BOM ? BLR,06:30,16:20,1 stop,No info,13626,9,0,2.3778071334214
2302,IndiGo,18/05/2019,Mumbai,Hyderabad,BOM ? HYD,19:05,20:35,non-stop,No info,2754,1,0,1.30718954248366
2303,Jet Airways,9/05/2019,Kolkata,Banglore,CCU ? DEL ? BLR,17:00,09:45 10 May,1 stop,No info,12121,16,5,4.77683359458791
2304,IndiGo,24/04/2019,Banglore,Delhi,BLR ? DEL,01:30,04:15,non-stop,No info,3419,2,5,2.19362386662767
2305,Air India,21/05/2019,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,10:00,01:20 22 May,2 stops,No info,13033,15,0,4.14332847387401
2306,IndiGo,6/04/2019,Kolkata,Banglore,CCU ? BLR,04:40,07:15,non-stop,No info,4174,2,5,1.79683756588404
